#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10243483, SEN S/N: 10243483)",Coupler Detached (LGR S/N: 10243483),Coupler Attached (LGR S/N: 10243483),Host Connected (LGR S/N: 10243483),Stopped (LGR S/N: 10243483),End Of File (LGR S/N: 10243483)
1,5/11/18 7:00,3.67,Logged,,,,
2,5/11/18 7:15,3.775,,,,,
3,5/11/18 7:30,3.88,,,,,
4,5/11/18 7:45,3.906,,,,,
5,5/11/18 8:00,3.88,,,,,
6,5/11/18 8:15,3.958,,,,,
7,5/11/18 8:30,6.535,,,,,
8,5/11/18 8:45,7.745,,,,,
9,5/11/18 9:00,8.444,,,,,
10,5/11/18 9:15,8.419,,,,,
11,5/11/18 9:30,8.419,,,,,
12,5/11/18 9:45,8.965,,,,,
13,5/11/18 10:00,11.346,,,,,
14,5/11/18 10:15,14.433,,,,,
15,5/11/18 10:30,17.153,,,,,
16,5/11/18 10:45,17.058,,,,,
17,5/11/18 11:00,17.177,,,,,
18,5/11/18 11:15,17.225,,,,,
19,5/11/18 11:30,16.963,,,,,
20,5/11/18 11:45,16.82,,,,,
21,5/11/18 12:00,17.011,,,,,
22,5/11/18 12:15,17.106,,,,,
23,5/11/18 12:30,17.463,,,,,
24,5/11/18 12:45,17.558,,,,,
25,5/11/18 13:00,17.938,,,,,
26,5/11/18 13:15,17.605,,,,,
27,5/11/18 13:30,17.368,,,,,
28,5/11/18 13:45,17.225,,,,,
29,5/11/18 14:00,17.296,,,,,
30,5/11/18 14:15,17.653,,,,,
31,5/11/18 14:30,18.461,,,,,
32,5/11/18 14:45,18.461,,,,,
33,5/11/18 15:00,18.295,,,,,
34,5/11/18 15:15,17.986,,,,,
35,5/11/18 15:30,17.51,,,,,
36,5/11/18 15:45,18.2,,,,,
37,5/11/18 16:00,18.176,,,,,
38,5/11/18 16:15,17.439,,,,,
39,5/11/18 16:30,16.296,,,,,
40,5/11/18 16:45,16.725,,,,,
41,5/11/18 17:00,15.629,,,,,
42,5/11/18 17:15,14.242,,,,,
43,5/11/18 17:30,14.936,,,,,
44,5/11/18 17:45,15.581,,,,,
45,5/11/18 18:00,15.366,,,,,
46,5/11/18 18:15,15.438,,,,,
47,5/11/18 18:30,15.581,,,,,
48,5/11/18 18:45,15.294,,,,,
49,5/11/18 19:00,14.84,,,,,
50,5/11/18 19:15,14.385,,,,,
51,5/11/18 19:30,13.93,,,,,
52,5/11/18 19:45,13.449,,,,,
53,5/11/18 20:00,12.992,,,,,
54,5/11/18 20:15,12.485,,,,,
55,5/11/18 20:30,12.171,,,,,
56,5/11/18 20:45,11.88,,,,,
57,5/11/18 21:00,11.71,,,,,
58,5/11/18 21:15,11.37,,,,,
59,5/11/18 21:30,10.883,,,,,
60,5/11/18 21:45,10.32,,,,,
61,5/11/18 22:00,9.756,,,,,
62,5/11/18 22:15,9.188,,,,,
63,5/11/18 22:30,8.643,,,,,
64,5/11/18 22:45,8.12,,,,,
65,5/11/18 23:00,7.619,,,,,
66,5/11/18 23:15,7.192,,,,,
67,5/11/18 23:30,6.839,,,,,
68,5/11/18 23:45,6.56,,,,,
69,5/12/18 0:00,6.357,,,,,
70,5/12/18 0:15,6.23,,,,,
71,5/12/18 0:30,6.102,,,,,
72,5/12/18 0:45,5.949,,,,,
73,5/12/18 1:00,5.847,,,,,
74,5/12/18 1:15,5.745,,,,,
75,5/12/18 1:30,5.668,,,,,
76,5/12/18 1:45,5.591,,,,,
77,5/12/18 2:00,5.539,,,,,
78,5/12/18 2:15,5.437,,,,,
79,5/12/18 2:30,5.334,,,,,
80,5/12/18 2:45,5.205,,,,,
81,5/12/18 3:00,5.102,,,,,
82,5/12/18 3:15,4.973,,,,,
83,5/12/18 3:30,4.869,,,,,
84,5/12/18 3:45,4.766,,,,,
85,5/12/18 4:00,4.662,,,,,
86,5/12/18 4:15,4.558,,,,,
87,5/12/18 4:30,4.402,,,,,
88,5/12/18 4:45,4.246,,,,,
89,5/12/18 5:00,4.089,,,,,
90,5/12/18 5:15,3.932,,,,,
91,5/12/18 5:30,3.775,,,,,
92,5/12/18 5:45,3.67,,,,,
93,5/12/18 6:00,3.643,,,,,
94,5/12/18 6:15,3.643,,,,,
95,5/12/18 6:30,3.67,,,,,
96,5/12/18 6:45,3.749,,,,,
97,5/12/18 7:00,3.854,,,,,
98,5/12/18 7:15,4.037,,,,,
99,5/12/18 7:30,4.272,,,,,
100,5/12/18 7:45,4.506,,,,,
101,5/12/18 8:00,5.05,,,,,
102,5/12/18 8:15,7.318,,,,,
103,5/12/18 8:30,9.731,,,,,
104,5/12/18 8:45,11.394,,,,,
105,5/12/18 9:00,12.63,,,,,
106,5/12/18 9:15,12.871,,,,,
107,5/12/18 9:30,12.098,,,,,
108,5/12/18 9:45,13.185,,,,,
109,5/12/18 10:00,14.792,,,,,
110,5/12/18 10:15,16.415,,,,,
111,5/12/18 10:30,16.606,,,,,
112,5/12/18 10:45,16.987,,,,,
113,5/12/18 11:00,17.486,,,,,
114,5/12/18 11:15,17.011,,,,,
115,5/12/18 11:30,16.392,,,,,
116,5/12/18 11:45,16.272,,,,,
117,5/12/18 12:00,16.01,,,,,
118,5/12/18 12:15,15.652,,,,,
119,5/12/18 12:30,15.461,,,,,
120,5/12/18 12:45,15.27,,,,,
121,5/12/18 13:00,15.39,,,,,
122,5/12/18 13:15,15.127,,,,,
123,5/12/18 13:30,15.796,,,,,
124,5/12/18 13:45,16.82,,,,,
125,5/12/18 14:00,17.391,,,,,
126,5/12/18 14:15,18.01,,,,,
127,5/12/18 14:30,18.628,,,,,
128,5/12/18 14:45,18.557,,,,,
129,5/12/18 15:00,17.986,,,,,
130,5/12/18 15:15,17.653,,,,,
131,5/12/18 15:30,17.486,,,,,
132,5/12/18 15:45,17.272,,,,,
133,5/12/18 16:00,17.51,,,,,
134,5/12/18 16:15,16.892,,,,,
135,5/12/18 16:30,16.415,,,,,
136,5/12/18 16:45,16.415,,,,,
137,5/12/18 17:00,16.796,,,,,
138,5/12/18 17:15,17.415,,,,,
139,5/12/18 17:30,17.558,,,,,
140,5/12/18 17:45,16.677,,,,,
141,5/12/18 18:00,16.01,,,,,
142,5/12/18 18:15,15.414,,,,,
143,5/12/18 18:30,16.153,,,,,
144,5/12/18 18:45,17.249,,,,,
145,5/12/18 19:00,17.891,,,,,
146,5/12/18 19:15,18.295,,,,,
147,5/12/18 19:30,18.604,,,,,
148,5/12/18 19:45,18.866,,,,,
149,5/12/18 20:00,19.127,,,,,
150,5/12/18 20:15,19.341,,,,,
151,5/12/18 20:30,19.436,,,,,
152,5/12/18 20:45,19.46,,,,,
153,5/12/18 21:00,19.46,,,,,
154,5/12/18 21:15,19.413,,,,,
155,5/12/18 21:30,19.389,,,,,
156,5/12/18 21:45,19.365,,,,,
157,5/12/18 22:00,19.318,,,,,
158,5/12/18 22:15,19.294,,,,,
159,5/12/18 22:30,19.27,,,,,
160,5/12/18 22:45,19.27,,,,,
161,5/12/18 23:00,19.246,,,,,
162,5/12/18 23:15,19.222,,,,,
163,5/12/18 23:30,19.199,,,,,
164,5/12/18 23:45,19.175,,,,,
165,5/13/18 0:00,19.175,,,,,
166,5/13/18 0:15,19.151,,,,,
167,5/13/18 0:30,19.127,,,,,
168,5/13/18 0:45,19.103,,,,,
169,5/13/18 1:00,19.08,,,,,
170,5/13/18 1:15,19.056,,,,,
171,5/13/18 1:30,19.032,,,,,
172,5/13/18 1:45,19.008,,,,,
173,5/13/18 2:00,18.985,,,,,
174,5/13/18 2:15,18.961,,,,,
175,5/13/18 2:30,18.937,,,,,
176,5/13/18 2:45,18.913,,,,,
177,5/13/18 3:00,18.889,,,,,
178,5/13/18 3:15,18.866,,,,,
179,5/13/18 3:30,18.842,,,,,
180,5/13/18 3:45,18.818,,,,,
181,5/13/18 4:00,18.794,,,,,
182,5/13/18 4:15,18.771,,,,,
183,5/13/18 4:30,18.747,,,,,
184,5/13/18 4:45,18.723,,,,,
185,5/13/18 5:00,18.699,,,,,
186,5/13/18 5:15,18.699,,,,,
187,5/13/18 5:30,18.675,,,,,
188,5/13/18 5:45,18.652,,,,,
189,5/13/18 6:00,18.652,,,,,
190,5/13/18 6:15,18.652,,,,,
191,5/13/18 6:30,18.652,,,,,
192,5/13/18 6:45,18.675,,,,,
193,5/13/18 7:00,18.794,,,,,
194,5/13/18 7:15,18.913,,,,,
195,5/13/18 7:30,18.985,,,,,
196,5/13/18 7:45,19.032,,,,,
197,5/13/18 8:00,19.056,,,,,
198,5/13/18 8:15,19.032,,,,,
199,5/13/18 8:30,18.985,,,,,
200,5/13/18 8:45,18.961,,,,,
201,5/13/18 9:00,18.913,,,,,
202,5/13/18 9:15,18.889,,,,,
203,5/13/18 9:30,18.842,,,,,
204,5/13/18 9:45,18.794,,,,,
205,5/13/18 10:00,18.747,,,,,
206,5/13/18 10:15,18.723,,,,,
207,5/13/18 10:30,18.675,,,,,
208,5/13/18 10:45,18.652,,,,,
209,5/13/18 11:00,18.604,,,,,
210,5/13/18 11:15,18.58,,,,,
211,5/13/18 11:30,18.557,,,,,
212,5/13/18 11:45,18.509,,,,,
213,5/13/18 12:00,18.509,,,,,
214,5/13/18 12:15,18.533,,,,,
215,5/13/18 12:30,18.604,,,,,
216,5/13/18 12:45,17.51,,,,,
217,5/13/18 13:00,16.63,,,,,
218,5/13/18 13:15,16.272,,,,,
219,5/13/18 13:30,15.581,,,,,
220,5/13/18 13:45,15.557,,,,,
221,5/13/18 14:00,16.368,,,,,
222,5/13/18 14:15,17.106,,,,,
223,5/13/18 14:30,16.915,,,,,
224,5/13/18 14:45,14.697,,,,,
225,5/13/18 15:00,13.233,,,,,
226,5/13/18 15:15,13.04,,,,,
227,5/13/18 15:30,13.978,,,,,
228,5/13/18 15:45,14.864,,,,,
229,5/13/18 16:00,15.103,,,,,
230,5/13/18 16:15,15.438,,,,,
231,5/13/18 16:30,15.724,,,,,
232,5/13/18 16:45,16.082,,,,,
233,5/13/18 17:00,16.558,,,,,
234,5/13/18 17:15,16.677,,,,,
235,5/13/18 17:30,15.796,,,,,
236,5/13/18 17:45,15.031,,,,,
237,5/13/18 18:00,14.625,,,,,
238,5/13/18 18:15,15.151,,,,,
239,5/13/18 18:30,15.915,,,,,
240,5/13/18 18:45,16.677,,,,,
241,5/13/18 19:00,17.391,,,,,
242,5/13/18 19:15,17.986,,,,,
243,5/13/18 19:30,18.461,,,,,
244,5/13/18 19:45,18.818,,,,,
245,5/13/18 20:00,18.937,,,,,
246,5/13/18 20:15,18.794,,,,,
247,5/13/18 20:30,18.366,,,,,
248,5/13/18 20:45,17.796,,,,,
249,5/13/18 21:00,17.225,,,,,
250,5/13/18 21:15,16.701,,,,,
