Date Time	Temperature   (*C)
06/02/02 08:27:09.0	22.57
06/02/02 08:42:09.0	18.63
06/02/02 08:57:09.0	16.22
06/02/02 09:12:09.0	15.43
06/02/02 09:27:09.0	14.8
06/02/02 09:42:09.0	14.33
06/02/02 09:57:09.0	13.71
06/02/02 10:12:09.0	13.25
06/02/02 10:27:09.0	12.79
06/02/02 10:42:09.0	12.63
06/02/02 10:57:09.0	12.17
06/02/02 11:12:09.0	11.7
06/02/02 11:27:09.0	11.39
06/02/02 11:42:09.0	11.54
06/02/02 11:57:09.0	11.86
06/02/02 12:12:09.0	12.01
06/02/02 12:27:09.0	12.17
06/02/02 12:42:09.0	12.17
06/02/02 12:57:09.0	11.86
06/02/02 13:12:09.0	11.86
06/02/02 13:27:09.0	12.63
06/02/02 13:42:09.0	12.63
06/02/02 13:57:09.0	12.01
06/02/02 14:12:09.0	11.7
06/02/02 14:27:09.0	10.46
06/02/02 14:42:09.0	10.46
06/02/02 14:57:09.0	10.46
06/02/02 15:12:09.0	10.62
06/02/02 15:27:09.0	10.62
06/02/02 15:42:09.0	10.46
06/02/02 15:57:09.0	10.46
06/02/02 16:12:09.0	10.31
06/02/02 16:27:09.0	10.15
06/02/02 16:42:09.0	9.99
06/02/02 16:57:09.0	9.99
06/02/02 17:12:09.0	9.99
06/02/02 17:27:09.0	9.99
06/02/02 17:42:09.0	9.99
06/02/02 17:57:09.0	10.15
06/02/02 18:12:09.0	9.99
06/02/02 18:27:09.0	9.99
06/02/02 18:42:09.0	9.99
06/02/02 18:57:09.0	9.99
06/02/02 19:12:09.0	9.99
06/02/02 19:27:09.0	9.99
06/02/02 19:42:09.0	10.15
06/02/02 19:57:09.0	10.15
06/02/02 20:12:09.0	10.15
06/02/02 20:27:09.0	10.15
06/02/02 20:42:09.0	10.15
06/02/02 20:57:09.0	10.15
06/02/02 21:12:09.0	10.15
06/02/02 21:27:09.0	10.15
06/02/02 21:42:09.0	10.15
06/02/02 21:57:09.0	10.15
06/02/02 22:12:09.0	10.15
06/02/02 22:27:09.0	10.15
06/02/02 22:42:09.0	10.15
06/02/02 22:57:09.0	10.15
06/02/02 23:12:09.0	8.76
06/02/02 23:27:09.0	8.45
06/02/02 23:42:09.0	8.61
06/02/02 23:57:09.0	8.76
06/03/02 00:12:09.0	8.76
06/03/02 00:27:09.0	8.91
06/03/02 00:42:09.0	8.14
06/03/02 00:57:09.0	7.68
06/03/02 01:12:09.0	6.75
06/03/02 01:27:09.0	7.21
06/03/02 01:42:09.0	7.52
06/03/02 01:57:09.0	9.22
06/03/02 02:12:09.0	9.99
06/03/02 02:27:09.0	10.15
06/03/02 02:42:09.0	10.15
06/03/02 02:57:09.0	10.15
06/03/02 03:12:09.0	9.99
