"Plot Title: Bear Cove 11082017"
"#","Date Time, GMT-09:00","Temp, °C (LGR S/N: 9913539, SEN S/N: 9913539)","Coupler Detached (LGR S/N: 9913539)","Coupler Attached (LGR S/N: 9913539)","Host Connected (LGR S/N: 9913539)","Stopped (LGR S/N: 9913539)","End Of File (LGR S/N: 9913539)"
1,11/07/17 12:00:00 PM,9.015,Logged,,,,
2,11/07/17 12:15:00 PM,6.839,,,,,
3,11/07/17 12:30:00 PM,8.742,,,,,
4,11/07/17 12:45:00 PM,8.817,,,,,
5,11/07/17 01:00:00 PM,8.792,,,,,
6,11/07/17 01:15:00 PM,8.792,,,,,
7,11/07/17 01:30:00 PM,8.817,,,,,
8,11/07/17 01:45:00 PM,8.817,,,,,
9,11/07/17 02:00:00 PM,8.792,,,,,
10,11/07/17 02:15:00 PM,8.817,,,,,
11,11/07/17 02:30:00 PM,8.817,,,,,
12,11/07/17 02:45:00 PM,8.817,,,,,
13,11/07/17 03:00:00 PM,8.817,,,,,
14,11/07/17 03:15:00 PM,8.841,,,,,
15,11/07/17 03:30:00 PM,8.866,,,,,
16,11/07/17 03:45:00 PM,8.841,,,,,
17,11/07/17 04:00:00 PM,8.866,,,,,
18,11/07/17 04:15:00 PM,8.866,,,,,
19,11/07/17 04:30:00 PM,8.941,,,,,
20,11/07/17 04:45:00 PM,8.891,,,,,
21,11/07/17 05:00:00 PM,8.767,,,,,
22,11/07/17 05:15:00 PM,8.792,,,,,
23,11/07/17 05:30:00 PM,9.015,,,,,
24,11/07/17 05:45:00 PM,8.817,,,,,
25,11/07/17 06:00:00 PM,8.891,,,,,
26,11/07/17 06:15:00 PM,8.717,,,,,
27,11/07/17 06:30:00 PM,8.618,,,,,
28,11/07/17 06:45:00 PM,8.817,,,,,
29,11/07/17 07:00:00 PM,8.519,,,,,
30,11/07/17 07:15:00 PM,9.238,,,,,
31,11/07/17 07:30:00 PM,9.213,,,,,
32,11/07/17 07:45:00 PM,9.188,,,,,
33,11/07/17 08:00:00 PM,9.188,,,,,
34,11/07/17 08:15:00 PM,9.015,,,,,
35,11/07/17 08:30:00 PM,9.089,,,,,
36,11/07/17 08:45:00 PM,9.114,,,,,
37,11/07/17 09:00:00 PM,9.064,,,,,
38,11/07/17 09:15:00 PM,9.114,,,,,
39,11/07/17 09:30:00 PM,9.188,,,,,
40,11/07/17 09:45:00 PM,9.336,,,,,
41,11/07/17 10:00:00 PM,9.213,,,,,
42,11/07/17 10:15:00 PM,9.262,,,,,
43,11/07/17 10:30:00 PM,9.287,,,,,
44,11/07/17 10:45:00 PM,9.213,,,,,
45,11/07/17 11:00:00 PM,8.717,,,,,
46,11/07/17 11:15:00 PM,8.792,,,,,
47,11/07/17 11:30:00 PM,8.941,,,,,
48,11/07/17 11:45:00 PM,9.064,,,,,
49,11/08/17 12:00:00 AM,9.089,,,,,
50,11/08/17 12:15:00 AM,9.139,,,,,
51,11/08/17 12:30:00 AM,9.064,,,,,
52,11/08/17 12:45:00 AM,8.916,,,,,
53,11/08/17 01:00:00 AM,8.941,,,,,
54,11/08/17 01:15:00 AM,8.941,,,,,
55,11/08/17 01:30:00 AM,8.941,,,,,
56,11/08/17 01:45:00 AM,8.965,,,,,
57,11/08/17 02:00:00 AM,8.965,,,,,
58,11/08/17 02:15:00 AM,8.965,,,,,
59,11/08/17 02:30:00 AM,8.990,,,,,
60,11/08/17 02:45:00 AM,9.015,,,,,
61,11/08/17 03:00:00 AM,9.064,,,,,
62,11/08/17 03:15:00 AM,9.089,,,,,
63,11/08/17 03:30:00 AM,9.015,,,,,
64,11/08/17 03:45:00 AM,8.965,,,,,
65,11/08/17 04:00:00 AM,9.040,,,,,
66,11/08/17 04:15:00 AM,8.990,,,,,
67,11/08/17 04:30:00 AM,8.990,,,,,
68,11/08/17 04:45:00 AM,9.015,,,,,
69,11/08/17 05:00:00 AM,9.064,,,,,
70,11/08/17 05:15:00 AM,9.089,,,,,
71,11/08/17 05:30:00 AM,9.064,,,,,
72,11/08/17 05:45:00 AM,9.064,,,,,
73,11/08/17 06:00:00 AM,9.139,,,,,
74,11/08/17 06:15:00 AM,9.163,,,,,
75,11/08/17 06:30:00 AM,9.188,,,,,
76,11/08/17 06:45:00 AM,9.114,,,,,
77,11/08/17 07:00:00 AM,9.089,,,,,
78,11/08/17 07:15:00 AM,9.163,,,,,
79,11/08/17 07:30:00 AM,9.213,,,,,
80,11/08/17 07:45:00 AM,9.238,,,,,
81,11/08/17 08:00:00 AM,9.188,,,,,
82,11/08/17 08:15:00 AM,9.238,,,,,
83,11/08/17 08:30:00 AM,9.238,,,,,
84,11/08/17 08:45:00 AM,9.238,,,,,
85,11/08/17 09:00:00 AM,9.213,,,,,
86,11/08/17 09:15:00 AM,9.163,,,,,
87,11/08/17 09:30:00 AM,9.188,,,,,
88,11/08/17 09:45:00 AM,9.114,,,,,
89,11/08/17 10:00:00 AM,9.064,,,,,
90,11/08/17 10:15:00 AM,8.990,,,,,
91,11/08/17 10:30:00 AM,9.089,,,,,
92,11/08/17 10:45:00 AM,9.064,,,,,
93,11/08/17 11:00:00 AM,9.114,,,,,
94,11/08/17 11:15:00 AM,9.139,,,,,
95,11/08/17 11:30:00 AM,9.114,,,,,
96,11/08/17 11:45:00 AM,9.139,,,,,
97,11/08/17 12:00:00 PM,9.188,,,,,
98,11/08/17 12:15:00 PM,9.213,,,,,
99,11/08/17 12:30:00 PM,9.213,,,,,
100,11/08/17 12:45:00 PM,9.238,,,,,
101,11/08/17 01:00:00 PM,9.213,,,,,
102,11/08/17 01:15:00 PM,9.262,,,,,
103,11/08/17 01:30:00 PM,9.287,,,,,
104,11/08/17 01:45:00 PM,9.238,,,,,
105,11/08/17 02:00:00 PM,9.213,,,,,
106,11/08/17 02:15:00 PM,9.213,,,,,
107,11/08/17 02:30:00 PM,9.213,,,,,
108,11/08/17 02:45:00 PM,9.188,,,,,
109,11/08/17 03:00:00 PM,9.287,,,,,
110,11/08/17 03:15:00 PM,9.287,,,,,
111,11/08/17 03:30:00 PM,9.312,,,,,
112,11/08/17 03:45:00 PM,9.312,,,,,
113,11/08/17 04:00:00 PM,9.312,,,,,
114,11/08/17 04:15:00 PM,9.336,,,,,
115,11/08/17 04:30:00 PM,9.336,,,,,
116,11/08/17 04:45:00 PM,9.336,,,,,
117,11/08/17 05:00:00 PM,9.336,,,,,
118,11/08/17 05:15:00 PM,9.336,,,,,
119,11/08/17 05:30:00 PM,9.336,,,,,
120,11/08/17 05:45:00 PM,9.361,,,,,
121,11/08/17 06:00:00 PM,9.336,,,,,
122,11/08/17 06:15:00 PM,9.336,,,,,
123,11/08/17 06:30:00 PM,9.287,,,,,
124,11/08/17 06:45:00 PM,9.262,,,,,
125,11/08/17 07:00:00 PM,8.095,,,,,
126,11/08/17 07:15:00 PM,7.970,,,,,
127,11/08/17 07:30:00 PM,8.643,,,,,
128,11/08/17 07:45:00 PM,9.015,,,,,
129,11/08/17 08:00:00 PM,9.114,,,,,
130,11/08/17 08:15:00 PM,9.312,,,,,
131,11/08/17 08:30:00 PM,9.262,,,,,
132,11/08/17 08:45:00 PM,9.262,,,,,
133,11/08/17 09:00:00 PM,8.916,,,,,
134,11/08/17 09:15:00 PM,8.593,,,,,
135,11/08/17 09:30:00 PM,8.394,,,,,
136,11/08/17 09:45:00 PM,7.920,,,,,
137,11/08/17 10:00:00 PM,8.270,,,,,
138,11/08/17 10:15:00 PM,8.369,,,,,
139,11/08/17 10:30:00 PM,8.593,,,,,
140,11/08/17 10:45:00 PM,9.114,,,,,
141,11/08/17 11:00:00 PM,9.040,,,,,
142,11/08/17 11:15:00 PM,8.990,,,,,
143,11/08/17 11:30:00 PM,9.040,,,,,
