"Plot Title: Halibut Cove 11042016(1)"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 2321241, SEN S/N: 2321241, LBL: Temp)","Coupler Detached (LGR S/N: 2321241)","Bad Battery (LGR S/N: 2321241)","Coupler Attached (LGR S/N: 2321241)","Host Connected (LGR S/N: 2321241)","Stopped (LGR S/N: 2321241)","End Of File (LGR S/N: 2321241)"
1,11/04/16 05:00:00 PM,46.931,Logged,,,,,
2,11/04/16 05:15:00 PM,46.931,,,,,,
3,11/04/16 05:30:00 PM,46.796,,,,,,
4,11/04/16 05:45:00 PM,46.706,,,,,,
5,11/04/16 06:00:00 PM,46.526,,,,,,
6,11/04/16 06:15:00 PM,46.346,,,,,,
7,11/04/16 06:30:00 PM,46.391,,,,,,
8,11/04/16 06:45:00 PM,46.346,,,,,,
9,11/04/16 07:00:00 PM,46.391,,,,,,
10,11/04/16 07:15:00 PM,46.211,,,,,,
11,11/04/16 07:30:00 PM,46.211,,,,,,
12,11/04/16 07:45:00 PM,46.166,,,,,,
13,11/04/16 08:00:00 PM,46.166,,,,,,
14,11/04/16 08:15:00 PM,46.301,,,,,,
15,11/04/16 08:30:00 PM,46.346,,,,,,
16,11/04/16 08:45:00 PM,46.391,,,,,,
17,11/04/16 09:00:00 PM,46.391,,,,,,
18,11/04/16 09:15:00 PM,46.526,,,,,,
19,11/04/16 09:30:00 PM,46.526,,,,,,
20,11/04/16 09:45:00 PM,46.571,,,,,,
21,11/04/16 10:00:00 PM,46.256,,,,,,
22,11/04/16 10:15:00 PM,46.256,,,,,,
23,11/04/16 10:30:00 PM,46.481,,,,,,
24,11/04/16 10:45:00 PM,46.481,,,,,,
25,11/04/16 11:00:00 PM,46.346,,,,,,
26,11/04/16 11:15:00 PM,46.436,,,,,,
27,11/04/16 11:30:00 PM,46.436,,,,,,
28,11/04/16 11:45:00 PM,46.391,,,,,,
29,11/05/16 12:00:00 AM,46.436,,,,,,
30,11/05/16 12:15:00 AM,46.481,,,,,,
31,11/05/16 12:30:00 AM,46.391,,,,,,
32,11/05/16 12:45:00 AM,46.346,,,,,,
33,11/05/16 01:00:00 AM,46.256,,,,,,
34,11/05/16 01:15:00 AM,46.301,,,,,,
35,11/05/16 01:30:00 AM,46.301,,,,,,
36,11/05/16 01:45:00 AM,46.166,,,,,,
37,11/05/16 02:00:00 AM,46.211,,,,,,
38,11/05/16 02:15:00 AM,46.346,,,,,,
39,11/05/16 02:30:00 AM,46.436,,,,,,
40,11/05/16 02:45:00 AM,46.256,,,,,,
41,11/05/16 03:00:00 AM,46.256,,,,,,
42,11/05/16 03:15:00 AM,45.941,,,,,,
43,11/05/16 03:30:00 AM,45.941,,,,,,
44,11/05/16 03:45:00 AM,46.166,,,,,,
45,11/05/16 04:00:00 AM,45.986,,,,,,
46,11/05/16 04:15:00 AM,46.076,,,,,,
47,11/05/16 04:30:00 AM,46.031,,,,,,
48,11/05/16 04:45:00 AM,45.941,,,,,,
49,11/05/16 05:00:00 AM,45.851,,,,,,
50,11/05/16 05:15:00 AM,45.896,,,,,,
51,11/05/16 05:30:00 AM,46.166,,,,,,
52,11/05/16 05:45:00 AM,45.986,,,,,,
53,11/05/16 06:00:00 AM,46.031,,,,,,
54,11/05/16 06:15:00 AM,45.896,,,,,,
55,11/05/16 06:30:00 AM,46.121,,,,,,
56,11/05/16 06:45:00 AM,46.211,,,,,,
57,11/05/16 07:00:00 AM,46.166,,,,,,
58,11/05/16 07:15:00 AM,45.896,,,,,,
59,11/05/16 07:30:00 AM,45.489,,,,,,
60,11/05/16 07:45:00 AM,45.354,,,,,,
61,11/05/16 08:00:00 AM,45.444,,,,,,
62,11/05/16 08:15:00 AM,45.489,,,,,,
63,11/05/16 08:30:00 AM,45.624,,,,,,
64,11/05/16 08:45:00 AM,45.534,,,,,,
65,11/05/16 09:00:00 AM,45.579,,,,,,
66,11/05/16 09:15:00 AM,45.579,,,,,,
67,11/05/16 09:30:00 AM,45.806,,,,,,
68,11/05/16 09:45:00 AM,45.986,,,,,,
69,11/05/16 10:00:00 AM,45.986,,,,,,
70,11/05/16 10:15:00 AM,46.166,,,,,,
71,11/05/16 10:30:00 AM,46.166,,,,,,
72,11/05/16 10:45:00 AM,46.031,,,,,,
73,11/05/16 11:00:00 AM,46.211,,,,,,
74,11/05/16 11:15:00 AM,46.166,,,,,,
75,11/05/16 11:30:00 AM,46.256,,,,,,
76,11/05/16 11:45:00 AM,46.301,,,,,,
77,11/05/16 12:00:00 PM,46.301,,,,,,
78,11/05/16 12:15:00 PM,46.301,,,,,,
79,11/05/16 12:30:00 PM,46.076,,,,,,
80,11/05/16 12:45:00 PM,45.941,,,,,,
81,11/05/16 01:00:00 PM,46.076,,,,,,
82,11/05/16 01:15:00 PM,46.076,,,,,,
83,11/05/16 01:30:00 PM,46.031,,,,,,
84,11/05/16 01:45:00 PM,46.166,,,,,,
85,11/05/16 02:00:00 PM,46.166,,,,,,
86,11/05/16 02:15:00 PM,46.256,,,,,,
87,11/05/16 02:30:00 PM,46.166,,,,,,
88,11/05/16 02:45:00 PM,46.121,,,,,,
89,11/05/16 03:00:00 PM,46.121,,,,,,
90,11/05/16 03:15:00 PM,46.256,,,,,,
91,11/05/16 03:30:00 PM,46.301,,,,,,
92,11/05/16 03:45:00 PM,46.346,,,,,,
93,11/05/16 04:00:00 PM,46.436,,,,,,
94,11/05/16 04:15:00 PM,46.436,,,,,,
95,11/05/16 04:30:00 PM,46.436,,,,,,
96,11/05/16 04:45:00 PM,46.391,,,,,,
97,11/05/16 05:00:00 PM,46.436,,,,,,
98,11/05/16 05:15:00 PM,46.436,,,,,,
99,11/05/16 05:30:00 PM,46.436,,,,,,
100,11/05/16 05:45:00 PM,46.436,,,,,,
101,11/05/16 06:00:00 PM,46.436,,,,,,
102,11/05/16 06:15:00 PM,46.436,,,,,,
103,11/05/16 06:30:00 PM,46.076,,,,,,
104,11/05/16 06:45:00 PM,46.076,,,,,,
105,11/05/16 07:00:00 PM,45.851,,,,,,
106,11/05/16 07:15:00 PM,45.624,,,,,,
107,11/05/16 07:30:00 PM,45.714,,,,,,
108,11/05/16 07:45:00 PM,45.896,,,,,,
109,11/05/16 08:00:00 PM,45.761,,,,,,
110,11/05/16 08:15:00 PM,45.941,,,,,,
111,11/05/16 08:30:00 PM,45.986,,,,,,
112,11/05/16 08:45:00 PM,46.121,,,,,,
