"Plot Title: Halibut Cove 4_24_2017(2)"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 2321221, SEN S/N: 2321221, LBL: temp)","Coupler Detached (LGR S/N: 2321221)","Coupler Attached (LGR S/N: 2321221)","Host Connected (LGR S/N: 2321221)","Stopped (LGR S/N: 2321221)","End Of File (LGR S/N: 2321221)"
1,04/24/17 04:00:00 PM,66.173,Logged,,,,
2,04/24/17 04:15:00 PM,66.301,,,,,
3,04/24/17 04:30:00 PM,66.385,,,,,
4,04/24/17 04:45:00 PM,66.472,,,,,
5,04/24/17 05:00:00 PM,66.515,,,,,
6,04/24/17 05:15:00 PM,66.558,,,,,
7,04/24/17 05:30:00 PM,66.600,,,,,
8,04/24/17 05:45:00 PM,66.600,,,,,
9,04/24/17 06:00:00 PM,66.643,,,,,
10,04/24/17 06:15:00 PM,66.643,,,,,
11,04/24/17 06:30:00 PM,66.600,,,,,
12,04/24/17 06:45:00 PM,66.600,,,,,
13,04/24/17 07:00:00 PM,66.600,,,,,
14,04/24/17 07:15:00 PM,66.600,,,,,
15,04/24/17 07:30:00 PM,66.558,,,,,
16,04/24/17 07:45:00 PM,66.515,,,,,
17,04/24/17 08:00:00 PM,66.515,,,,,
18,04/24/17 08:15:00 PM,66.472,,,,,
19,04/24/17 08:30:00 PM,66.429,,,,,
20,04/24/17 08:45:00 PM,66.385,,,,,
21,04/24/17 09:00:00 PM,66.344,,,,,
22,04/24/17 09:15:00 PM,66.301,,,,,
23,04/24/17 09:30:00 PM,66.258,,,,,
24,04/24/17 09:45:00 PM,66.173,,,,,
25,04/24/17 10:00:00 PM,66.130,,,,,
26,04/24/17 10:15:00 PM,66.087,,,,,
27,04/24/17 10:30:00 PM,66.043,,,,,
28,04/24/17 10:45:00 PM,65.959,,,,,
29,04/24/17 11:00:00 PM,65.916,,,,,
30,04/24/17 11:15:00 PM,65.829,,,,,
31,04/24/17 11:30:00 PM,65.788,,,,,
32,04/24/17 11:45:00 PM,65.701,,,,,
33,04/25/17 12:00:00 AM,65.658,,,,,
34,04/25/17 12:15:00 AM,65.574,,,,,
35,04/25/17 12:30:00 AM,65.487,,,,,
36,04/25/17 12:45:00 AM,65.444,,,,,
37,04/25/17 01:00:00 AM,65.359,,,,,
38,04/25/17 01:15:00 AM,65.273,,,,,
39,04/25/17 01:30:00 AM,65.230,,,,,
40,04/25/17 01:45:00 AM,65.145,,,,,
41,04/25/17 02:00:00 AM,65.059,,,,,
42,04/25/17 02:15:00 AM,65.017,,,,,
43,04/25/17 02:30:00 AM,64.974,,,,,
44,04/25/17 02:45:00 AM,64.931,,,,,
45,04/25/17 03:00:00 AM,64.888,,,,,
46,04/25/17 03:15:00 AM,64.845,,,,,
47,04/25/17 03:30:00 AM,64.888,,,,,
48,04/25/17 03:45:00 AM,64.888,,,,,
49,04/25/17 04:00:00 AM,64.974,,,,,
50,04/25/17 04:15:00 AM,65.017,,,,,
51,04/25/17 04:30:00 AM,65.059,,,,,
52,04/25/17 04:45:00 AM,65.102,,,,,
53,04/25/17 05:00:00 AM,65.102,,,,,
54,04/25/17 05:15:00 AM,65.145,,,,,
55,04/25/17 05:30:00 AM,65.145,,,,,
56,04/25/17 05:45:00 AM,65.188,,,,,
57,04/25/17 06:00:00 AM,65.230,,,,,
58,04/25/17 06:15:00 AM,65.273,,,,,
59,04/25/17 06:30:00 AM,65.316,,,,,
60,04/25/17 06:45:00 AM,65.316,,,,,
61,04/25/17 07:00:00 AM,65.316,,,,,
62,04/25/17 07:15:00 AM,65.316,,,,,
63,04/25/17 07:30:00 AM,65.316,,,,,
64,04/25/17 07:45:00 AM,65.316,,,,,
65,04/25/17 08:00:00 AM,65.316,,,,,
66,04/25/17 08:15:00 AM,65.359,,,,,
67,04/25/17 08:30:00 AM,65.403,,,,,
68,04/25/17 08:45:00 AM,65.444,,,,,
69,04/25/17 09:00:00 AM,65.487,,,,,
70,04/25/17 09:15:00 AM,65.574,,,,,
71,04/25/17 09:30:00 AM,65.658,,,,,
72,04/25/17 09:45:00 AM,65.745,,,,,
73,04/25/17 10:00:00 AM,65.872,,,,,
74,04/25/17 10:15:00 AM,66.043,,,,,
75,04/25/17 10:30:00 AM,66.173,,,,,
76,04/25/17 10:45:00 AM,66.301,,,,,
77,04/25/17 11:00:00 AM,66.385,,,,,
78,04/25/17 11:15:00 AM,66.558,,,,,
79,04/25/17 11:30:00 AM,66.729,,,,,
80,04/25/17 11:45:00 AM,66.900,,,,,
81,04/25/17 12:00:00 PM,67.028,,,,,
82,04/25/17 12:15:00 PM,67.158,,,,,
83,04/25/17 12:30:00 PM,67.242,,,,,
84,04/25/17 12:45:00 PM,67.372,,,,,
85,04/25/17 01:00:00 PM,67.456,,,,,
86,04/25/17 01:15:00 PM,67.500,,,,,
87,04/25/17 01:30:00 PM,67.586,,,,,
88,04/25/17 01:45:00 PM,67.627,,,,,
89,04/25/17 02:00:00 PM,67.714,,,,,
90,04/25/17 02:15:00 PM,67.757,,,,,
91,04/25/17 02:30:00 PM,67.798,,,,,
92,04/25/17 02:45:00 PM,67.842,,,,,
93,04/25/17 03:00:00 PM,67.885,,,,,
94,04/25/17 03:15:00 PM,67.928,,,,,
95,04/25/17 03:30:00 PM,67.971,,,,,
96,04/25/17 03:45:00 PM,68.013,,,,,
97,04/25/17 04:00:00 PM,68.056,,,,,
98,04/25/17 04:15:00 PM,68.099,,,,,
99,04/25/17 04:30:00 PM,68.142,,,,,
100,04/25/17 04:45:00 PM,68.227,,,,,
101,04/25/17 05:00:00 PM,68.227,,,,,
102,04/25/17 05:15:00 PM,68.270,,,,,
103,04/25/17 05:30:00 PM,68.270,,,,,
104,04/25/17 05:45:00 PM,68.270,,,,,
105,04/25/17 06:00:00 PM,68.270,,,,,
106,04/25/17 06:15:00 PM,68.270,,,,,
107,04/25/17 06:30:00 PM,68.227,,,,,
108,04/25/17 06:45:00 PM,68.227,,,,,
109,04/25/17 07:00:00 PM,68.185,,,,,
110,04/25/17 07:15:00 PM,68.185,,,,,
111,04/25/17 07:30:00 PM,68.142,,,,,
112,04/25/17 07:45:00 PM,68.056,,,,,
113,04/25/17 08:00:00 PM,67.928,,,,,
114,04/25/17 08:15:00 PM,67.798,,,,,
115,04/25/17 08:30:00 PM,67.671,,,,,
116,04/25/17 08:45:00 PM,67.586,,,,,
117,04/25/17 09:00:00 PM,67.456,,,,,
118,04/25/17 09:15:00 PM,67.372,,,,,
119,04/25/17 09:30:00 PM,67.285,,,,,
120,04/25/17 09:45:00 PM,67.158,,,,,
121,04/25/17 10:00:00 PM,67.071,,,,,
122,04/25/17 10:15:00 PM,66.943,,,,,
123,04/25/17 10:30:00 PM,66.857,,,,,
124,04/25/17 10:45:00 PM,66.729,,,,,
125,04/25/17 11:00:00 PM,66.600,,,,,
126,04/25/17 11:15:00 PM,66.515,,,,,
127,04/25/17 11:30:00 PM,66.385,,,,,
128,04/25/17 11:45:00 PM,66.258,,,,,
129,04/26/17 12:00:00 AM,66.130,,,,,
130,04/26/17 12:15:00 AM,66.000,,,,,
131,04/26/17 12:30:00 AM,65.872,,,,,
132,04/26/17 12:45:00 AM,65.788,,,,,
133,04/26/17 01:00:00 AM,65.658,,,,,
134,04/26/17 01:15:00 AM,65.530,,,,,
