"Plot Title: Halibut Cove 11082017a"
"#","Date Time, GMT-09:00","Temp, °C (LGR S/N: 10255556, SEN S/N: 10255556)","Coupler Detached (LGR S/N: 10255556)","Coupler Attached (LGR S/N: 10255556)","Host Connected (LGR S/N: 10255556)","Stopped (LGR S/N: 10255556)","End Of File (LGR S/N: 10255556)"
1,11/08/17 12:00:00 PM,8.245,Logged,,,,
2,11/08/17 12:15:00 PM,8.245,,,,,
3,11/08/17 12:30:00 PM,8.245,,,,,
4,11/08/17 12:45:00 PM,8.245,,,,,
5,11/08/17 01:00:00 PM,8.245,,,,,
6,11/08/17 01:15:00 PM,8.245,,,,,
7,11/08/17 01:30:00 PM,8.245,,,,,
8,11/08/17 01:45:00 PM,8.270,,,,,
9,11/08/17 02:00:00 PM,8.270,,,,,
10,11/08/17 02:15:00 PM,8.319,,,,,
11,11/08/17 02:30:00 PM,8.344,,,,,
12,11/08/17 02:45:00 PM,8.344,,,,,
13,11/08/17 03:00:00 PM,8.394,,,,,
14,11/08/17 03:15:00 PM,8.419,,,,,
15,11/08/17 03:30:00 PM,8.394,,,,,
16,11/08/17 03:45:00 PM,8.494,,,,,
17,11/08/17 04:00:00 PM,8.444,,,,,
18,11/08/17 04:15:00 PM,8.469,,,,,
19,11/08/17 04:30:00 PM,8.469,,,,,
20,11/08/17 04:45:00 PM,8.469,,,,,
21,11/08/17 05:00:00 PM,8.419,,,,,
22,11/08/17 05:15:00 PM,8.419,,,,,
23,11/08/17 05:30:00 PM,8.444,,,,,
24,11/08/17 05:45:00 PM,8.519,,,,,
25,11/08/17 06:00:00 PM,8.494,,,,,
26,11/08/17 06:15:00 PM,8.519,,,,,
27,11/08/17 06:30:00 PM,8.519,,,,,
28,11/08/17 06:45:00 PM,8.519,,,,,
29,11/08/17 07:00:00 PM,8.568,,,,,
30,11/08/17 07:15:00 PM,8.618,,,,,
31,11/08/17 07:30:00 PM,8.643,,,,,
32,11/08/17 07:45:00 PM,8.543,,,,,
33,11/08/17 08:00:00 PM,8.070,,,,,
34,11/08/17 08:15:00 PM,8.270,,,,,
35,11/08/17 08:30:00 PM,8.295,,,,,
36,11/08/17 08:45:00 PM,8.369,,,,,
37,11/08/17 09:00:00 PM,8.394,,,,,
38,11/08/17 09:15:00 PM,8.245,,,,,
39,11/08/17 09:30:00 PM,8.295,,,,,
40,11/08/17 09:45:00 PM,8.245,,,,,
41,11/08/17 10:00:00 PM,8.270,,,,,
42,11/08/17 10:15:00 PM,8.245,,,,,
43,11/08/17 10:30:00 PM,8.220,,,,,
44,11/08/17 10:45:00 PM,8.170,,,,,
45,11/08/17 11:00:00 PM,8.145,,,,,
46,11/08/17 11:15:00 PM,8.170,,,,,
47,11/08/17 11:30:00 PM,8.145,,,,,
48,11/08/17 11:45:00 PM,8.170,,,,,
49,11/09/17 12:00:00 AM,8.170,,,,,
50,11/09/17 12:15:00 AM,8.170,,,,,
51,11/09/17 12:30:00 AM,8.145,,,,,
52,11/09/17 12:45:00 AM,8.170,,,,,
53,11/09/17 01:00:00 AM,8.195,,,,,
54,11/09/17 01:15:00 AM,8.220,,,,,
55,11/09/17 01:30:00 AM,8.319,,,,,
56,11/09/17 01:45:00 AM,8.319,,,,,
57,11/09/17 02:00:00 AM,8.319,,,,,
58,11/09/17 02:15:00 AM,8.419,,,,,
59,11/09/17 02:30:00 AM,8.344,,,,,
60,11/09/17 02:45:00 AM,8.394,,,,,
61,11/09/17 03:00:00 AM,8.295,,,,,
62,11/09/17 03:15:00 AM,8.369,,,,,
63,11/09/17 03:30:00 AM,8.295,,,,,
64,11/09/17 03:45:00 AM,8.319,,,,,
65,11/09/17 04:00:00 AM,8.369,,,,,
66,11/09/17 04:15:00 AM,8.369,,,,,
67,11/09/17 04:30:00 AM,8.369,,,,,
68,11/09/17 04:45:00 AM,8.419,,,,,
69,11/09/17 05:00:00 AM,8.444,,,,,
70,11/09/17 05:15:00 AM,8.469,,,,,
71,11/09/17 05:30:00 AM,8.469,,,,,
72,11/09/17 05:45:00 AM,8.469,,,,,
73,11/09/17 06:00:00 AM,8.494,,,,,
74,11/09/17 06:15:00 AM,8.519,,,,,
75,11/09/17 06:30:00 AM,8.519,,,,,
76,11/09/17 06:45:00 AM,8.519,,,,,
77,11/09/17 07:00:00 AM,8.519,,,,,
78,11/09/17 07:15:00 AM,8.543,,,,,
79,11/09/17 07:30:00 AM,8.568,,,,,
80,11/09/17 07:45:00 AM,8.469,,,,,
81,11/09/17 08:00:00 AM,8.444,,,,,
82,11/09/17 08:15:00 AM,8.444,,,,,
83,11/09/17 08:30:00 AM,8.469,,,,,
84,11/09/17 08:45:00 AM,8.519,,,,,
85,11/09/17 09:00:00 AM,8.494,,,,,
86,11/09/17 09:15:00 AM,8.469,,,,,
87,11/09/17 09:30:00 AM,8.145,,,,,
88,11/09/17 09:45:00 AM,8.319,,,,,
89,11/09/17 10:00:00 AM,8.270,,,,,
90,11/09/17 10:15:00 AM,8.245,,,,,
91,11/09/17 10:30:00 AM,8.270,,,,,
92,11/09/17 10:45:00 AM,8.344,,,,,
93,11/09/17 11:00:00 AM,8.170,,,,,
94,11/09/17 11:15:00 AM,8.195,,,,,
95,11/09/17 11:30:00 AM,8.220,,,,,
96,11/09/17 11:45:00 AM,8.270,,,,,
97,11/09/17 12:00:00 PM,8.270,,,,,
98,11/09/17 12:15:00 PM,8.245,,,,,
99,11/09/17 12:30:00 PM,8.195,,,,,
100,11/09/17 12:45:00 PM,8.195,,,,,
101,11/09/17 01:00:00 PM,8.220,,,,,
102,11/09/17 01:15:00 PM,8.270,,,,,
103,11/09/17 01:30:00 PM,8.220,,,,,
104,11/09/17 01:45:00 PM,8.220,,,,,
105,11/09/17 02:00:00 PM,8.270,,,,,
106,11/09/17 02:15:00 PM,8.270,,,,,
107,11/09/17 02:30:00 PM,8.270,,,,,
108,11/09/17 02:45:00 PM,8.245,,,,,
109,11/09/17 03:00:00 PM,8.220,,,,,
110,11/09/17 03:15:00 PM,8.270,,,,,
111,11/09/17 03:30:00 PM,8.270,,,,,
112,11/09/17 03:45:00 PM,8.245,,,,,
113,11/09/17 04:00:00 PM,8.220,,,,,
114,11/09/17 04:15:00 PM,8.295,,,,,
115,11/09/17 04:30:00 PM,8.319,,,,,
116,11/09/17 04:45:00 PM,8.319,,,,,
117,11/09/17 05:00:00 PM,8.344,,,,,
118,11/09/17 05:15:00 PM,8.369,,,,,
119,11/09/17 05:30:00 PM,8.369,,,,,
120,11/09/17 05:45:00 PM,8.394,,,,,
121,11/09/17 06:00:00 PM,8.394,,,,,
122,11/09/17 06:15:00 PM,8.369,,,,,
123,11/09/17 06:30:00 PM,8.344,,,,,
124,11/09/17 06:45:00 PM,8.369,,,,,
125,11/09/17 07:00:00 PM,8.419,,,,,
126,11/09/17 07:15:00 PM,8.419,,,,,
127,11/09/17 07:30:00 PM,8.419,,,,,
128,11/09/17 07:45:00 PM,8.394,,,,,
129,11/09/17 08:00:00 PM,8.369,,,,,
130,11/09/17 08:15:00 PM,8.369,,,,,
131,11/09/17 08:30:00 PM,8.369,,,,,
132,11/09/17 08:45:00 PM,8.369,,,,,
133,11/09/17 09:00:00 PM,8.369,,,,,
134,11/09/17 09:15:00 PM,8.369,,,,,
135,11/09/17 09:30:00 PM,8.120,,,,,
136,11/09/17 09:45:00 PM,8.095,,,,,
137,11/09/17 10:00:00 PM,8.170,,,,,
138,11/09/17 10:15:00 PM,8.095,,,,,
139,11/09/17 10:30:00 PM,8.170,,,,,
140,11/09/17 10:45:00 PM,8.095,,,,,
141,11/09/17 11:00:00 PM,8.120,,,,,
142,11/09/17 11:15:00 PM,8.095,,,,,
143,11/09/17 11:30:00 PM,8.095,,,,,
144,11/09/17 11:45:00 PM,8.070,,,,,
145,11/10/17 12:00:00 AM,8.070,,,,,
146,11/10/17 12:15:00 AM,8.020,,,,,
147,11/10/17 12:30:00 AM,8.020,,,,,
148,11/10/17 12:45:00 AM,8.045,,,,,
149,11/10/17 01:00:00 AM,8.045,,,,,
150,11/10/17 01:15:00 AM,8.045,,,,,
151,11/10/17 01:30:00 AM,8.045,,,,,
152,11/10/17 01:45:00 AM,8.070,,,,,
153,11/10/17 02:00:00 AM,8.070,,,,,
154,11/10/17 02:15:00 AM,8.045,,,,,
155,11/10/17 02:30:00 AM,8.120,,,,,
156,11/10/17 02:45:00 AM,8.170,,,,,
157,11/10/17 03:00:00 AM,8.045,,,,,
158,11/10/17 03:15:00 AM,8.120,,,,,
159,11/10/17 03:30:00 AM,8.145,,,,,
160,11/10/17 03:45:00 AM,8.195,,,,,
161,11/10/17 04:00:00 AM,8.270,,,,,
162,11/10/17 04:15:00 AM,8.319,,,,,
163,11/10/17 04:30:00 AM,8.369,,,,,
164,11/10/17 04:45:00 AM,8.419,,,,,
165,11/10/17 05:00:00 AM,8.419,,,,,
166,11/10/17 05:15:00 AM,8.369,,,,,
167,11/10/17 05:30:00 AM,8.369,,,,,
168,11/10/17 05:45:00 AM,8.295,,,,,
169,11/10/17 06:00:00 AM,8.270,,,,,
170,11/10/17 06:15:00 AM,8.245,,,,,
171,11/10/17 06:30:00 AM,8.245,,,,,
172,11/10/17 06:45:00 AM,8.220,,,,,
173,11/10/17 07:00:00 AM,8.295,,,,,
174,11/10/17 07:15:00 AM,8.344,,,,,
175,11/10/17 07:30:00 AM,8.319,,,,,
176,11/10/17 07:45:00 AM,8.319,,,,,
177,11/10/17 08:00:00 AM,8.295,,,,,
178,11/10/17 08:15:00 AM,8.295,,,,,
179,11/10/17 08:30:00 AM,8.295,,,,,
180,11/10/17 08:45:00 AM,8.295,,,,,
181,11/10/17 09:00:00 AM,8.270,,,,,
182,11/10/17 09:15:00 AM,8.319,,,,,
183,11/10/17 09:30:00 AM,8.319,,,,,
184,11/10/17 09:45:00 AM,8.270,,,,,
185,11/10/17 10:00:00 AM,8.295,,,,,
186,11/10/17 10:15:00 AM,8.295,,,,,
187,11/10/17 10:30:00 AM,8.270,,,,,
188,11/10/17 10:45:00 AM,8.270,,,,,
189,11/10/17 11:00:00 AM,8.270,,,,,
190,11/10/17 11:15:00 AM,8.270,,,,,
191,11/10/17 11:30:00 AM,8.270,,,,,
192,11/10/17 11:45:00 AM,8.245,,,,,
193,11/10/17 12:00:00 PM,8.245,,,,,
194,11/10/17 12:15:00 PM,8.245,,,,,
195,11/10/17 12:30:00 PM,8.220,,,,,
196,11/10/17 12:45:00 PM,8.220,,,,,
197,11/10/17 01:00:00 PM,8.145,,,,,
198,11/10/17 01:15:00 PM,8.120,,,,,
199,11/10/17 01:30:00 PM,8.095,,,,,
200,11/10/17 01:45:00 PM,8.045,,,,,
201,11/10/17 02:00:00 PM,8.020,,,,,
202,11/10/17 02:15:00 PM,8.020,,,,,
203,11/10/17 02:30:00 PM,8.020,,,,,
204,11/10/17 02:45:00 PM,8.020,,,,,
205,11/10/17 03:00:00 PM,8.020,,,,,
206,11/10/17 03:15:00 PM,8.020,,,,,
207,11/10/17 03:30:00 PM,8.020,,,,,
208,11/10/17 03:45:00 PM,8.020,,,,,
209,11/10/17 04:00:00 PM,8.045,,,,,
210,11/10/17 04:15:00 PM,8.020,,,,,
211,11/10/17 04:30:00 PM,8.020,,,,,
212,11/10/17 04:45:00 PM,8.020,,,,,
213,11/10/17 05:00:00 PM,8.020,,,,,
214,11/10/17 05:15:00 PM,7.895,,,,,
215,11/10/17 05:30:00 PM,7.970,,,,,
