"Plot Title: Halibut Cove 11082017b"
"#","Date Time, GMT-09:00","Temp, °C (LGR S/N: 2321241, SEN S/N: 2321241, LBL: Temp)","Coupler Detached (LGR S/N: 2321241)","Coupler Attached (LGR S/N: 2321241)","Host Connected (LGR S/N: 2321241)","Stopped (LGR S/N: 2321241)","End Of File (LGR S/N: 2321241)"
1,11/08/17 12:00:00 PM,8.120,Logged,,,,
2,11/08/17 12:15:00 PM,8.120,,,,,
3,11/08/17 12:30:00 PM,8.120,,,,,
4,11/08/17 12:45:00 PM,8.120,,,,,
5,11/08/17 01:00:00 PM,8.120,,,,,
6,11/08/17 01:15:00 PM,8.120,,,,,
7,11/08/17 01:30:00 PM,8.120,,,,,
8,11/08/17 01:45:00 PM,8.145,,,,,
9,11/08/17 02:00:00 PM,8.145,,,,,
10,11/08/17 02:15:00 PM,8.145,,,,,
11,11/08/17 02:30:00 PM,8.195,,,,,
12,11/08/17 02:45:00 PM,8.220,,,,,
13,11/08/17 03:00:00 PM,8.245,,,,,
14,11/08/17 03:15:00 PM,8.270,,,,,
15,11/08/17 03:30:00 PM,8.369,,,,,
16,11/08/17 03:45:00 PM,8.394,,,,,
17,11/08/17 04:00:00 PM,8.369,,,,,
18,11/08/17 04:15:00 PM,8.344,,,,,
19,11/08/17 04:30:00 PM,8.344,,,,,
20,11/08/17 04:45:00 PM,8.319,,,,,
21,11/08/17 05:00:00 PM,8.319,,,,,
22,11/08/17 05:15:00 PM,8.344,,,,,
23,11/08/17 05:30:00 PM,8.469,,,,,
24,11/08/17 05:45:00 PM,8.469,,,,,
25,11/08/17 06:00:00 PM,8.469,,,,,
26,11/08/17 06:15:00 PM,8.419,,,,,
27,11/08/17 06:30:00 PM,8.419,,,,,
28,11/08/17 06:45:00 PM,8.419,,,,,
29,11/08/17 07:00:00 PM,8.519,,,,,
30,11/08/17 07:15:00 PM,8.568,,,,,
31,11/08/17 07:30:00 PM,8.519,,,,,
32,11/08/17 07:45:00 PM,8.469,,,,,
33,11/08/17 08:00:00 PM,8.120,,,,,
34,11/08/17 08:15:00 PM,8.319,,,,,
35,11/08/17 08:30:00 PM,8.319,,,,,
36,11/08/17 08:45:00 PM,8.270,,,,,
37,11/08/17 09:00:00 PM,8.270,,,,,
38,11/08/17 09:15:00 PM,8.170,,,,,
39,11/08/17 09:30:00 PM,8.220,,,,,
40,11/08/17 09:45:00 PM,8.220,,,,,
41,11/08/17 10:00:00 PM,8.170,,,,,
42,11/08/17 10:15:00 PM,8.170,,,,,
43,11/08/17 10:30:00 PM,8.120,,,,,
44,11/08/17 10:45:00 PM,8.095,,,,,
45,11/08/17 11:00:00 PM,8.070,,,,,
46,11/08/17 11:15:00 PM,8.070,,,,,
47,11/08/17 11:30:00 PM,8.070,,,,,
48,11/08/17 11:45:00 PM,8.120,,,,,
49,11/09/17 12:00:00 AM,8.170,,,,,
50,11/09/17 12:15:00 AM,8.045,,,,,
51,11/09/17 12:30:00 AM,8.020,,,,,
52,11/09/17 12:45:00 AM,8.070,,,,,
53,11/09/17 01:00:00 AM,8.020,,,,,
54,11/09/17 01:15:00 AM,8.095,,,,,
55,11/09/17 01:30:00 AM,8.344,,,,,
56,11/09/17 01:45:00 AM,8.170,,,,,
57,11/09/17 02:00:00 AM,8.344,,,,,
58,11/09/17 02:15:00 AM,8.369,,,,,
59,11/09/17 02:30:00 AM,8.270,,,,,
60,11/09/17 02:45:00 AM,8.245,,,,,
61,11/09/17 03:00:00 AM,8.220,,,,,
62,11/09/17 03:15:00 AM,8.145,,,,,
