"Plot Title: 05242018 Halibut Cove"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2321221, SEN S/N: 2321221, LBL: temp)","Coupler Detached (LGR S/N: 2321221)","Coupler Attached (LGR S/N: 2321221)","Host Connected (LGR S/N: 2321221)","Stopped (LGR S/N: 2321221)","End Of File (LGR S/N: 2321221)"
1,05/24/18 04:00:00 PM,8.419,Logged,,,,
2,05/24/18 04:15:00 PM,8.543,,,,,
3,05/24/18 04:30:00 PM,8.469,,,,,
4,05/24/18 04:45:00 PM,8.494,,,,,
5,05/24/18 05:00:00 PM,8.519,,,,,
6,05/24/18 05:15:00 PM,8.444,,,,,
7,05/24/18 05:30:00 PM,8.444,,,,,
8,05/24/18 05:45:00 PM,8.519,,,,,
9,05/24/18 06:00:00 PM,8.543,,,,,
10,05/24/18 06:15:00 PM,8.568,,,,,
11,05/24/18 06:30:00 PM,8.419,,,,,
12,05/24/18 06:45:00 PM,8.419,,,,,
13,05/24/18 07:00:00 PM,8.444,,,,,
14,05/24/18 07:15:00 PM,8.419,,,,,
15,05/24/18 07:30:00 PM,8.444,,,,,
16,05/24/18 07:45:00 PM,8.319,,,,,
17,05/24/18 08:00:00 PM,8.245,,,,,
18,05/24/18 08:15:00 PM,8.220,,,,,
19,05/24/18 08:30:00 PM,8.394,,,,,
20,05/24/18 08:45:00 PM,8.095,,,,,
21,05/24/18 09:00:00 PM,8.195,,,,,
22,05/24/18 09:15:00 PM,8.195,,,,,
23,05/24/18 09:30:00 PM,8.070,,,,,
24,05/24/18 09:45:00 PM,8.045,,,,,
25,05/24/18 10:00:00 PM,8.095,,,,,
26,05/24/18 10:15:00 PM,8.020,,,,,
27,05/24/18 10:30:00 PM,7.945,,,,,
28,05/24/18 10:45:00 PM,7.895,,,,,
29,05/24/18 11:00:00 PM,7.895,,,,,
30,05/24/18 11:15:00 PM,7.670,,,,,
31,05/24/18 11:30:00 PM,7.920,,,,,
32,05/24/18 11:45:00 PM,8.145,,,,,
33,05/25/18 12:00:00 AM,8.145,,,,,
34,05/25/18 12:15:00 AM,8.170,,,,,
35,05/25/18 12:30:00 AM,8.020,,,,,
36,05/25/18 12:45:00 AM,8.170,,,,,
37,05/25/18 01:00:00 AM,8.145,,,,,
38,05/25/18 01:15:00 AM,8.095,,,,,
39,05/25/18 01:30:00 AM,8.070,,,,,
40,05/25/18 01:45:00 AM,8.070,,,,,
41,05/25/18 02:00:00 AM,8.020,,,,,
42,05/25/18 02:15:00 AM,8.020,,,,,
43,05/25/18 02:30:00 AM,7.920,,,,,
44,05/25/18 02:45:00 AM,7.920,,,,,
45,05/25/18 03:00:00 AM,7.870,,,,,
46,05/25/18 03:15:00 AM,7.845,,,,,
47,05/25/18 03:30:00 AM,7.695,,,,,
48,05/25/18 03:45:00 AM,7.519,,,,,
49,05/25/18 04:00:00 AM,7.494,,,,,
50,05/25/18 04:15:00 AM,7.544,,,,,
51,05/25/18 04:30:00 AM,7.569,,,,,
52,05/25/18 04:45:00 AM,7.494,,,,,
53,05/25/18 05:00:00 AM,7.594,,,,,
54,05/25/18 05:15:00 AM,7.469,,,,,
55,05/25/18 05:30:00 AM,7.519,,,,,
56,05/25/18 05:45:00 AM,7.645,,,,,
57,05/25/18 06:00:00 AM,7.569,,,,,
58,05/25/18 06:15:00 AM,7.519,,,,,
59,05/25/18 06:30:00 AM,7.544,,,,,
60,05/25/18 06:45:00 AM,7.720,,,,,
61,05/25/18 07:00:00 AM,7.645,,,,,
62,05/25/18 07:15:00 AM,7.594,,,,,
63,05/25/18 07:30:00 AM,7.569,,,,,
64,05/25/18 07:45:00 AM,7.795,,,,,
65,05/25/18 08:00:00 AM,7.569,,,,,
66,05/25/18 08:15:00 AM,7.569,,,,,
67,05/25/18 08:30:00 AM,7.368,,,,,
68,05/25/18 08:45:00 AM,7.419,,,,,
69,05/25/18 09:00:00 AM,7.494,,,,,
