"Plot Title: 05242018b Halibut Cove"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10455679, SEN S/N: 10455679)","Coupler Detached (LGR S/N: 10455679)","Coupler Attached (LGR S/N: 10455679)","Host Connected (LGR S/N: 10455679)","Stopped (LGR S/N: 10455679)","End Of File (LGR S/N: 10455679)"
1,05/24/18 04:00:00 PM,8.419,Logged,,,,
2,05/24/18 04:15:00 PM,8.469,,,,,
3,05/24/18 04:30:00 PM,8.543,,,,,
4,05/24/18 04:45:00 PM,8.593,,,,,
5,05/24/18 05:00:00 PM,8.717,,,,,
6,05/24/18 05:15:00 PM,8.494,,,,,
7,05/24/18 05:30:00 PM,8.494,,,,,
8,05/24/18 05:45:00 PM,8.543,,,,,
9,05/24/18 06:00:00 PM,8.444,,,,,
10,05/24/18 06:15:00 PM,8.444,,,,,
11,05/24/18 06:30:00 PM,8.394,,,,,
12,05/24/18 06:45:00 PM,8.469,,,,,
13,05/24/18 07:00:00 PM,8.469,,,,,
14,05/24/18 07:15:00 PM,8.419,,,,,
15,05/24/18 07:30:00 PM,8.369,,,,,
16,05/24/18 07:45:00 PM,8.344,,,,,
17,05/24/18 08:00:00 PM,8.394,,,,,
18,05/24/18 08:15:00 PM,8.319,,,,,
19,05/24/18 08:30:00 PM,8.295,,,,,
20,05/24/18 08:45:00 PM,8.295,,,,,
21,05/24/18 09:00:00 PM,8.319,,,,,
22,05/24/18 09:15:00 PM,8.220,,,,,
23,05/24/18 09:30:00 PM,8.145,,,,,
24,05/24/18 09:45:00 PM,8.145,,,,,
25,05/24/18 10:00:00 PM,8.045,,,,,
26,05/24/18 10:15:00 PM,8.020,,,,,
27,05/24/18 10:30:00 PM,8.020,,,,,
28,05/24/18 10:45:00 PM,7.970,,,,,
29,05/24/18 11:00:00 PM,7.745,,,,,
30,05/24/18 11:15:00 PM,7.720,,,,,
31,05/24/18 11:30:00 PM,7.695,,,,,
32,05/24/18 11:45:00 PM,7.970,,,,,
